Species,Genome.composition
Giardia-associated CRESS DNA virus 2,ssDNA
Giardia-associated CRESS DNA virus 2,ssDNA
Herugrimvirus gladden,ssDNA
Angainorvirus turin,ssDNA
Mazarbulvirus hasufel,ssDNA
Phialvirus golin,ssDNA
Entamoeba-associated CRESS DNA virus 1,ssDNA
Entamoeba-associated CRESS DNA virus 1,ssDNA
Badnavirus tessellocastaneae,dsDNA-RT
Vitivirus GVL,ssRNA(+)
Potyvirus mirabilis,ssRNA(+)
Alphafusarivirus auriculariae,ssRNA
Unuamitovirus diru1,ssRNA(+)
Menegrothvirus gilly,ssDNA
Rivapovirus aleyrodidae,ssRNA(-)
Copasivirus ivindoense,ssRNA(-)
Cybitervirus niederense,ssRNA(-)
Stylovirus niederense,ssRNA(-)
Supelovirus thailandense,ssRNA(-)
Ulegvirus freckenfeldense,ssRNA(-)
Tepovirus ChVT,ssRNA(+)
Penoulivirus macrophominae,ssRNA(+)
Magoulivirus betamacrophominae,ssRNA(+)
Magoulivirus alphamacrophominae,ssRNA(+)
Alphabaculovirus speridaniae,dsDNA
Apscaviroid dvd,ssRNA
Perhabdovirus perca,ssRNA(-)
Tocinivirus aphisi,ssRNA(+)
Foveavirus RuV1,ssRNA(+)
Cytorhabdovirus broussonetiae,ssRNA(-)
Potyvirus ashitabae,ssRNA(+)
Peropuvirus melongenae,ssRNA(-)
Orthotulasvirus tulasnellae,RNA
Gammafusarivirus lentinualea,ssRNA
Duamitovirus cesp1,ssRNA(+)
Scleroulivirus oidiodendronae,ssRNA(+)
Apscaviroid plvd-I,ssRNA
Tofonivirus foami,ssRNA(+)
Insemevirus tami,ssRNA(+)
Waikavirus ribesnigri,ssRNA(+)
Cressdnaviricota sp.,ssDNA
Betafusarivirus botrytidis,ssRNA
Alphafusarivirus botrytidis,ssRNA
Betafusarivirus iberiae,ssRNA
Betafusarivirus hispaniae,ssRNA
Thetahypovirus botrytidis,ssRNA(+)
Alphahypovirus botrytidis,ssRNA(+)
Botrytimonavirus alphabotrytidis,ssRNA(-)
Sclerotimonavirus betabotrytidis,ssRNA(-)
Sclerotimonavirus alphabotrytidis,ssRNA(-)
Alphacoronavirus CHB25,ssRNA(+)
Vesiculovirus yinshui,ssRNA(-)
Ledantevirus taiyi,ssRNA(-)
Botoulivirus thetabotrytidis,ssRNA(+)
Botoulivirus etabotrytidis,ssRNA(+)
Botoulivirus zetabotrytidis,ssRNA(+)
Botoulivirus epsilonbotrytidis,ssRNA(+)
Botoulivirus deltabotrytidis,ssRNA(+)
Botoulivirus gammabotrytidis,ssRNA(+)
Botoulivirus betabotrytidis,ssRNA(+)
Betascleroulivirus botrytidis,ssRNA(+)
Magoulivirus betabotrytidis,ssRNA(+)
Magoulivirus alphabotrytidis,ssRNA(+)
Deltascleroulivirus botrytidis,ssRNA(+)
Botoulivirus alphabotrytidis,ssRNA(+)
Penoulivirus gammabotrytidis,ssRNA(+)
Penoulivirus betabotrytidis,ssRNA(+)
Penoulivirus alphabotrytidis,ssRNA(+)
Groundnut rosette assistor virus,ssRNA(+)
Unuamitovirus fuox1,ssRNA(+)
Alphafusarivirus botryospheriae,ssRNA
Alphayadokarivirus gobani,RNA
Alphafusarivirus italiae,ssRNA
Alphafusarivirus plasmoparae,ssRNA
Penoulivirus iotaplasmoparae,ssRNA(+)
Penoulivirus thetaplasmoparae,ssRNA(+)
Penoulivirus etaplasmoparae,ssRNA(+)
Penoulivirus zetaplasmoparae,ssRNA(+)
Penoulivirus epsilonplasmoparae,ssRNA(+)
Penoulivirus deltaplasmoparae,ssRNA(+)
Penoulivirus gammaplasmoparae,ssRNA(+)
Penoulivirus betaplasmoparae,ssRNA(+)
Penoulivirus alphaplasmoparae,ssRNA(+)
Botoulivirus etaplasmoparae,ssRNA(+)
Deltascleroulivirus betaplasmoparae,ssRNA(+)
Scleroulivirus sigmaplasmoparae,ssRNA(+)
Scleroulivirus rhoplasmoparae,ssRNA(+)
Scleroulivirus piplasmoparae,ssRNA(+)
Scleroulivirus omicronplasmoparae,ssRNA(+)
Scleroulivirus xiplasmoparae,ssRNA(+)
Scleroulivirus niplasmoparae,ssRNA(+)
Scleroulivirus miplasmoparae,ssRNA(+)
Scleroulivirus lambdaplasmoparae,ssRNA(+)
Scleroulivirus kappaplasmoparae,ssRNA(+)
Scleroulivirus iotaplasmoparae,ssRNA(+)
Scleroulivirus thetaplasmoparae,ssRNA(+)
Scleroulivirus etaplasmoparae,ssRNA(+)
Betascleroulivirus miplasmoparae,ssRNA(+)
Scleroulivirus zetaplasmoparae,ssRNA(+)
Deltascleroulivirus alphaplasmoparae,ssRNA(+)
Scleroulivirus epsilonplasmoparae,ssRNA(+)
Scleroulivirus deltaplasmoparae,ssRNA(+)
Botoulivirus zetaplasmoparae,ssRNA(+)
Betabotoulivirus thetaplasmoparae,ssRNA(+)
Botoulivirus epsilonplasmoparae,ssRNA(+)
Botoulivirus deltaplasmoparae,ssRNA(+)
Botoulivirus gammaplasmoparae,ssRNA(+)
Botoulivirus betaplasmoparae,ssRNA(+)
Betabotoulivirus etaplasmoparae,ssRNA(+)
Betabotoulivirus zetaplasmoparae,ssRNA(+)
Betabotoulivirus epsilonplasmoparae,ssRNA(+)
Betabotoulivirus deltaplasmoparae,ssRNA(+)
Betascleroulivirus lambdaplasmoparae,ssRNA(+)
Gammascleroulivirus betaplasmoparae,ssRNA(+)
Gammascleroulivirus alphaplasmoparae,ssRNA(+)
Betascleroulivirus kappaplasmoparae,ssRNA(+)
Scleroulivirus gammaplasmoparae,ssRNA(+)
Scleroulivirus betaplasmoparae,ssRNA(+)
Epsilonscleroulivirus plasmoparae,ssRNA(+)
Scleroulivirus alphaplasmoparae,ssRNA(+)
Betascleroulivirus iotaplasmoparae,ssRNA(+)
Betascleroulivirus thetaplasmoparae,ssRNA(+)
Betascleroulivirus etaplasmoparae,ssRNA(+)
Betascleroulivirus zetaplasmoparae,ssRNA(+)
Betascleroulivirus epsilonplasmoparae,ssRNA(+)
Betascleroulivirus deltaplasmoparae,ssRNA(+)
Betascleroulivirus gammaplasmoparae,ssRNA(+)
Magoulivirus viticolae,ssRNA(+)
Betascleroulivirus betaplasmoparae,ssRNA(+)
Betascleroulivirus alphaplasmoparae,ssRNA(+)
Magoulivirus psiplasmoparae,ssRNA(+)
Magoulivirus omegaplasmoparae,ssRNA(+)
Magoulivirus jiplasmoparae,ssRNA(+)
Magoulivirus fiplasmoparae,ssRNA(+)
Magoulivirus ipsilonplasmoparae,ssRNA(+)
Magoulivirus tauplasmoparae,ssRNA(+)
Magoulivirus sigmaplasmoparae,ssRNA(+)
Magoulivirus rhoplasmoparae,ssRNA(+)
Magoulivirus piplasmoparae,ssRNA(+)
Magoulivirus omicronplasmoparae,ssRNA(+)
Magoulivirus xiplasmoparae,ssRNA(+)
Magoulivirus niplasmoparae,ssRNA(+)
Magoulivirus miplasmoparae,ssRNA(+)
Magoulivirus lambdaplasmoparae,ssRNA(+)
Magoulivirus kappaplasmoparae,ssRNA(+)
Magoulivirus iotaplasmoparae,ssRNA(+)
Magoulivirus thetaplasmoparae,ssRNA(+)
Magoulivirus etaplasmoparae,ssRNA(+)
Magoulivirus zetaplasmoparae,ssRNA(+)
Magoulivirus epsilonplasmoparae,ssRNA(+)
Magoulivirus deltaplasmoparae,ssRNA(+)
Magoulivirus gammaplasmoparae,ssRNA(+)
Magoulivirus betaplasmoparae,ssRNA(+)
Magoulivirus alphaplasmoparae,ssRNA(+)
Betabotoulivirus gammaplasmoparae,ssRNA(+)
Botoulivirus alphaplasmoparae,ssRNA(+)
Betabotoulivirus betaplasmoparae,ssRNA(+)
Betabotoulivirus alphaplasmoparae,ssRNA(+)
Oblavirus percae,ssRNA(-)
Thamnovirus percae,ssRNA(-)
Triamitovirus rhso39,ssRNA(+)
Magoulivirus malus,ssRNA(+)
Penoulivirus malus,ssRNA(+)
Nauglamirvirus anduin,ssDNA
Alphahypovirus sacchari,ssRNA(+)
Euproctis digramma nucleopolyhedrovirus,dsDNA
Waikavirus actinidiae,ssRNA(+)
Betahypovirus fusarii,ssRNA(+)
Trichoderma harzianum hypovirus 1,ssRNA(+)
Serpentovirinae sp.,ssRNA(+)
Serpentovirinae sp.,ssRNA(+)
Serpentovirinae sp.,ssRNA(+)
Aviadenovirus leucophthalmi,dsDNA
Cetarhavirus phocoena,ssRNA(-)
Duamitovirus hean3,ssRNA(+)
Duamitovirus hean3,ssRNA(+)
Unuamitovirus hean2,ssRNA(+)
Carlavirus RoVA,ssRNA(+)
Capillovirus TRV1,ssRNA(+)
Nyavirus somateriae,ssRNA(-)
Triamitovirus gesu1,ssRNA(+)
Carlavirus PapMaV,ssRNA(+)
Carlavirus PaMMaV,ssRNA(+)
Cherry symptomless virus,ssRNA(+)
Ringilvirus ungol,ssDNA
Ringilvirus thingol,ssDNA
Arnorvirus sauron,ssDNA
Ringilvirus tuor,ssDNA
Alphacoronavirus HKU33,ssRNA(+)
Unuamitovirus enmu7,ssRNA(+)
Unuamitovirus enmu6,ssRNA(+)
Unuamitovirus enmu5,ssRNA(+)
Unuamitovirus enmu4,ssRNA(+)
Unuamitovirus enmu3,ssRNA(+)
Unuamitovirus enmu2,ssRNA(+)
Unuamitovirus enmu1,ssRNA(+)
Usmuvirus newyorkense,ssRNA(-)
Alphapironavirus bona,ssRNA(+)
Gammaflexivirus PaGFV-1,ssRNA(+)
Duamitovirus nepa1,ssRNA(+)
Duamitovirus alal1,ssRNA(+)
Duamitovirus epni1,ssRNA(+)
Alphabaculovirus dijunonis,dsDNA
Thetahypovirus rhizoctoniae,ssRNA(+)
Alphafusarivirus rhizoctoniae,ssRNA
Betafusarivirus rhizoctoniae,ssRNA
Betafusarivirus brasiliensis,ssRNA
Tepovirus ZoVT,ssRNA(+)
Amplylivirus cinereus,ssRNA(-)
Alphacoronavirus sp.,ssRNA(+)
Alphacoronavirus sp.,ssRNA(+)
Alphacoronavirus sp.,ssRNA(+)
Vitivirus BGMaV,ssRNA(+)
Alphabaculovirus ranus,dsDNA
Triamitovirus rhso23,ssRNA(+)
Betarhizoulivirus solani,ssRNA(+)
Rhizoulivirus gammarhizoctoniae,ssRNA(+)
Rhizoulivirus betarhizoctoniae,ssRNA(+)
Rhizoulivirus alpharhizoctoniae,ssRNA(+)
Duamitovirus rhso34,ssRNA(+)
Duamitovirus rhso32,ssRNA(+)
Duamitovirus rhso31,ssRNA(+)
Triamitovirus rhso30,ssRNA(+)
Duamitovirus rhso27,ssRNA(+)
Duamitovirus rhso26,ssRNA(+)
Duamitovirus rhso25,ssRNA(+)
Duamitovirus rhso21,ssRNA(+)
Alphafusarivirus zymoseptoriae,ssRNA
Betafusarivirus homeocarpa,ssRNA
Alphafusarivirus rutstroemiae,ssRNA
Alphafusarivirus neurosporae,ssRNA
Alphafusarivirus aspergilli,ssRNA
Alphayadokarivirus yonbani,RNA
Alphahypovirus trichodermae,ssRNA(+)
Setosphaeria turcica hypovirus 1,ssRNA(+)
Sclerotinia homoeocarpa hypovirus 1,ssRNA(+)
Alphahypovirus fusarii,ssRNA(+)
Alphahypovirus alternariae,ssRNA(+)
Pregotovirus heba,ssRNA(+)
Unuamitovirus hyfr1,ssRNA(+)
Prunevirus CRSaV-1,ssRNA(+)
Unuamitovirus pust1,ssRNA(+)
Mexico trichovirus,ssRNA(+)
Betabaculovirus hycuneae,dsDNA
Unuamitovirus nior2,ssRNA(+)
Duamitovirus nior1,ssRNA(+)
Madalivirus amapaense,ssRNA(-)
Madalivirus amazonaense,ssRNA(-)
Etahypovirus sclerotii,ssRNA(+)
Sclerotium rolfsii hypovirus 7,ssRNA(+)
Sclerotinia sclerotiorum hypovirus 6,ssRNA(+)
Sclerotium rolfsii hypovirus 5,ssRNA(+)
Sclerotium rolfsii hypovirus 4,ssRNA(+)
Sclerotium rolfsii hypovirus 3,ssRNA(+)
Sclerotium rolfsii hypovirus 2,ssRNA(+)
Alphafusarivirus rolfsii,ssRNA
Alphafusarivirus sclerotii,ssRNA
Carlavirus BiCV,ssRNA(+)
Sicregavirus nixi,ssRNA(+)
Thetahypovirus sclerotiniae,ssRNA(+)
Waikavirus trifolii,ssRNA(+)
Alphahypovirus bipolaridis,ssRNA(+)
Carlavirus ShVS,ssRNA(+)
Synelinevirus paranaense,ssRNA(-)
Trichovirus PCLSV,ssRNA(+)
Thetahypovirus sclerotii,ssRNA(+)
Bat alphacoronavirus,ssRNA(+)
Duamitovirus bevu1,ssRNA(+)
Wuhan redfin culter dimarhabodovirus,ssRNA(-)
Circular ssDNA virus sp.,ssDNA
Jeilongvirus murinae,ssRNA(-)
Jeilongvirus murinae,ssRNA(-)
Rocahepevirus ratti,ssRNA(+)
Epsilonhypovirus entoleucae,ssRNA(+)
Apscaviroid aclsvd,ssRNA
Xylavirus EntGFV-2,ssRNA(+)
Gammaflexivirus EntGFV-1,ssRNA(+)
Alphahypovirus japonicum,ssRNA(+)
Betafusarivirus neurosporae,ssRNA
Nyavirus argatis,ssRNA(-)
Potyvirus pleioblasti,ssRNA(+)
Betafusarivirus crassae,ssRNA
Triniovirus yonagoense,ssRNA(-)
Waikavirus diospyri,ssRNA(+)
Badnavirus maculaucubae,dsDNA-RT
Feline paramyxovirus 163,ssRNA(-)
Duamitovirus fubo1,ssRNA(+)
Foveavirus ChVB,ssRNA(+)
Betayadokarivirus sanbani,RNA
Betayadokarivirus nibani,RNA
Betayadokarivirus yonbani,RNA
Epsilonhypovirus japonicum,ssRNA(+)
Alphafusarivirus neofusicocci,ssRNA
Jeilongvirus apodemi,ssRNA(-)
Epsilonhypovirus agarici,ssRNA(+)
Agaricus bisporus mitovirus 1,ssRNA(+)
Alphafusarivirus portobelli,ssRNA
Agaricus bisporus virus 10,unknown
Paslahepevirus balayani,ssRNA(+)
Gambievirus senegalense,ssRNA(-)
Apscaviroid cvd-VII,ssRNA
Ceratobasidium mitovirus A,ssRNA(+)
Duamitovirus scni2,ssRNA(+)
Unuamitovirus scni1,ssRNA(+)
Siniperhavirus zoarces,ssRNA(-)
Alphafusarivirus macrophominae,ssRNA
Unuamitovirus albr1,ssRNA(+)
Duamitovirus rhce1,ssRNA(+)
Duamitovirus hean1,ssRNA(+)
Unuamitovirus hyfr1,ssRNA(+)
Jeilongvirus murinae,ssRNA(-)
Chirohepevirus eptesici,ssRNA(+)
Duamitovirus busp1,ssRNA(+)
Unuamitovirus scsc7,ssRNA(+)
Duamitovirus scsc6,ssRNA(+)
Paslahepevirus balayani,ssRNA(+)
Unuamitovirus fuci2,ssRNA(+)
Unuamitovirus fuci1,ssRNA(+)
Kvaramitovirus opno7,ssRNA(+)
Duamitovirus opno1c,ssRNA(+)
Triamitovirus rhso1,ssRNA(+)
Jeilongvirus anhuiense,ssRNA(-)
Unuamitovirus scsc4,ssRNA(+)
Duamitovirus scsc3,ssRNA(+)
Unuamitovirus scsc1,ssRNA(+)
Gremmeniella abietina non-host-specific mitochondrial RNA virus S1,ssRNA(+)
Triamitovirus tuex1,ssRNA(+)
Alphayadokarivirus nibani,RNA
Tapjovirus bothropis,ssRNA(-)
Replylivirus allogus,ssRNA(-)
Orthobornavirus caenophidiae,ssRNA(-)
Betanucleorhabdovirus bacopae,ssRNA(-)
Cytorhabdovirus bacopae,ssRNA(-)
Unuamitovirus enmu8,ssRNA(+)
Duamitovirus hulu1,ssRNA(+)
Duamitovirus dapi1,ssRNA(+)
Duamitovirus casa1,ssRNA(+)
Duamitovirus oxru1,ssRNA(+)
Duamitovirus peex1,ssRNA(+)
Duamitovirus soch1,ssRNA(+)
Duamitovirus azfi1,ssRNA(+)
Eriocheir sinensis reovirus,dsRNA
Duamitovirus scho1,ssRNA(+)
Duamitovirus opno3b,ssRNA(+)
Duamitovirus opno1b,ssRNA(+)
Duamitovirus opno1a,ssRNA(+)
Unuamitovirus grab1,ssRNA(+)
Unuamitovirus hemo1,ssRNA(+)
Simplexvirus macropodidalpha2,dsDNA
Simplexvirus bovinealpha2,dsDNA
Betanucleorhabdovirus venasonchi,ssRNA(-)
Varicellovirus caprinealpha1,dsDNA
Pemapivirus A,ssRNA(+)
Potato leafroll virus,ssRNA(+)
Rhabdoviridae sp.,ssRNA(-)
Carrot closterovirus,ssRNA(+)
Aqualaruvirus sialis,ssRNA(-)
Betahymrhavirus heterodontonyx,ssRNA(-)
Formivirus gorytis,ssRNA(-)
Pterovirus chulinense,ssRNA(-)
Ollusvirus insectii,ssRNA(-)
Ollusvirus hymenopteri,ssRNA(-)
Gemycircularvirus sp.,ssDNA
Yam asymptomatic virus 1,ssRNA(+)
Ledantevirus bughendera,ssRNA(-)
Genomoviridae sp.,ssDNA
Auricularimonavirus auriculariae,ssRNA(-)
Botrytimonavirus botrytidis,ssRNA(-)
Betapaprhavirus sylvina,ssRNA(-)
Alphahymrhavirus cinereus,ssRNA(-)
Formivirus chalybii,ssRNA(-)
Alphahymrhavirus hirtum,ssRNA(-)
Lizard atadenovirus B,dsDNA
Tomato leaf curl Kunene virus,ssDNA(+/-)
Betapolyomavirus leporis,dsDNA
Aleptorquevirus lepor1,ssDNA(-)
Smacoviridae sp.,ssDNA
Smacoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Bat circovirus,ssDNA(+/-)
Sorghum mastrevirus associated alphasatellite,ssDNA
Gemyduguivirus arteca1,ssDNA
Gemykroznavirus zizan1,ssDNA
Gemykolovirus prupe1,ssDNA
Gemycircularvirus oxcor1,ssDNA
Dependoparvovirus carnivoran1,ssDNA(+/-)
Cytorhabdovirus yerbamate,ssRNA(-)
Sclerotinia sclerotiorum ourmia-like virus 4,ssRNA(+)
Gemycircularvirus citas1,ssDNA
Gemykolovirus citas1,ssDNA
Obscuruvirus quintum,ssRNA(-)
Cotton leaf curl Cameroon alphasatellite,ssDNA
Mivirus karukeraense,ssRNA(-)
Paper mulberry leaf curl virus 2,ssDNA(+/-)
Paper mulberry leaf curl virus 1,ssDNA(+/-)
Elk circovirus Banff/2019,ssDNA(+/-)
Piscichuvirus franki,ssRNA(-)
Sclerotimonavirus betaplasmoparae,ssRNA(-)
Penicillimonavirus etaplasmoparae,ssRNA(-)
Plasmopamonavirus plasmoparae,ssRNA(-)
Penicillimonavirus zetaplasmoparae,ssRNA(-)
Sclerotimonavirus alphaplasmoparae,ssRNA(-)
Penicillimonavirus epsilonplasmoparae,ssRNA(-)
Penicillimonavirus deltaplasmoparae,ssRNA(-)
Penicillimonavirus betaplasmoparae,ssRNA(-)
Penicillimonavirus gammaplasmopara,ssRNA(-)
Penicillimonavirus alphaplasmoparae,ssRNA(-)
Rubivirus strelense,ssRNA(+)
Rubivirus ruteetense,ssRNA(+)
Papaya leaf curl betasatellite,ssDNA
Alphanucleorhabdovirus pruni,ssRNA(-)
Phoma penoulivirus,ssRNA(+)
Feline chaphamaparvovirus,ssDNA(+/-)
Rhizomonavirus mali,ssRNA(-)
Porprismacovirus chicas5,ssDNA
Porprismacovirus chicas3,ssDNA
Porprismacovirus chicas7,ssDNA
Porprismacovirus chicas6,ssDNA
Porprismacovirus chicas4,ssDNA
Porprismacovirus chicas2,ssDNA
Gemykibivirus galga2,ssDNA
Gemykrogvirus galga4,ssDNA
Gemykibivirus galga1,ssDNA
Gemykrogvirus galga1,ssDNA
Gemykibivirus galga3,ssDNA
Gemykrogvirus galga3,ssDNA
Gemykrogvirus galga5,ssDNA
Circovirus bear,ssDNA(+/-)
Cardamom vein clearing nucleorhabdovirus 1,ssRNA(-)
Capsicum India alphasatellite,ssDNA
Hancheng leafhopper mivirus,ssRNA(-)
Porprismacovirus avias1,ssDNA
Chaphamaparvovirus psittacine1,ssDNA(+/-)
Ollusvirus culvertonense,ssRNA(-)
Circovirus whale,ssDNA(+/-)
Milk vetch dwarf China alphasatellite,ssDNA
Narnavirus sp.,ssRNA(+)
Narnavirus sp.,ssRNA(+)
Senna severe yellow mosaic virus,ssRNA(+)
Fish HDV-like virus,ssRNA(-)
Daazvirus cynopis,dsDNA
Mivirus sp.,ssRNA(-)
Alpharicinrhavirus blanchseco,ssRNA(-)
Chaphamaparvovirus galliform5,ssDNA(+/-)
Chaphamaparvovirus galliform4,ssDNA(+/-)
Nyavirus sanjacintoense,ssRNA(-)
Dobrovirus bufonis,dsDNA
Termite HDV-like virus,ssRNA(-)
Citrus yellow mottle virus,ssRNA(+)
Gemykibivirus planta2,ssDNA
Gemygorvirus opunt1,ssDNA
Gemycircularvirus opunt1,ssDNA
Cyclovirus roedor,ssDNA(+/-)
Marsupivirus A,ssRNA(+)
Porprismacovirus leo1,ssDNA
Porprismacovirus lynas2,ssDNA
Felismacovirus lynas1,ssDNA
Ohlsrhavirus lobeira,ssRNA(-)
Gemycircularvirus rebac1,ssDNA
Psittacine siadenovirus D,dsDNA
Avian metaavulavirus 21,ssRNA(-)
Muscodensovirus dipteran1,ssDNA(+/-)
Rodent deltavirus,ssRNA(-)
Penicillimonavirus alphapenicillii,ssRNA(-)
Penicillimonavirus betapenicillii,ssRNA(-)
Sclerotimonavirus alternariae,ssRNA(-)
Sclerotimonavirus penicillii,ssRNA(-)
Betabotoulivirus phaeoacremonium,ssRNA(+)
Cladosporium magoulivirus 2,ssRNA(+)
Phaeoacremonium magoulivirus,ssRNA(+)
Acremonium magoulivirus,ssRNA(+)
Epicoccum penoulivirus,ssRNA(+)
Phaeoacremonium penoulivirus,ssRNA(+)
Epicoccum botoulivirus,ssRNA(+)
Cladosporium uredinicola ourmiavirus 2,ssRNA(+)
Cladosporium uredinicola ourmiavirus 1,ssRNA(+)
Penicillium penoulivirus,ssRNA(+)
Cladosporium magoulivirus 1,ssRNA(+)
Neofusicoccum penoulivirus,ssRNA(+)
Gemycircularvirus gopha1,ssDNA
Gemykolovirus gopha2,ssDNA
Gemycircularvirus gopha2,ssDNA
Gemykolovirus gopha1,ssDNA
Porprismacovirus capas1,ssDNA
Melinis repens associated virus,ssDNA(+/-)
Tetuambidensovirus trombidiform1,ssDNA(+/-)
Colletotrichum magoulivirus,ssRNA(+)
Chaphamaparvovirus dasyurid3,ssDNA(+/-)
Chaphamaparvovirus dasyurid2,ssDNA(+/-)
Chaphamaparvovirus dasyurid1,ssDNA(+/-)
Magnaporthe penoulivirus,ssRNA(+)
Gemykibivirus hydro3,ssDNA
Gemykroznavirus hydro1,ssDNA
Gemyduguivirus hydro2,ssDNA
Gemygorvirus hydro1,ssDNA
Gemyduguivirus hydro3,ssDNA
Gemykibivirus hydro1,ssDNA
Gemyduguivirus hydro1,ssDNA
Gemykibivirus hydro2,ssDNA
Gemycircularvirus hydro1,ssDNA
Phyllomonavirus gysingense,ssRNA(-)
Blackfly genomovirus 1,ssDNA
Gemycircularvirus austro4,ssDNA
Gemyduguivirus austo1,ssDNA
Gemycircularvirus austro2,ssDNA
Gemycircularvirus austro5,ssDNA
Gemycircularvirus austro3,ssDNA
Gemycircularvirus austro1,ssDNA
Badnavirus venazanthoxyli,dsDNA-RT
Aspergillus penoulivirus,ssRNA(+)
Gemykibivirus haeme1,ssDNA
Gemykibivirus haeme5,ssDNA
Gemykroznavirus haeme1,ssDNA
Gemycircularvirus haeme2,ssDNA
Gemykibivirus haeme4,ssDNA
Gemykibivirus haeme3,ssDNA
Gemycircularvirus haeme1,ssDNA
Psittacine siadenovirus E,dsDNA
TTV-like mini virus,ssDNA(-)
Ugandan passiflora virus,ssRNA(+)
Etatorquevirus felid3,ssDNA(-)
Gemykibivirus hipla1,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Genomoviridae sp.,ssDNA
Cotton leaf curl Gezira betasatellite,ssDNA
Mivirus genovaense,ssRNA(-)
Bocaparvovirus ungulate9,ssDNA(+/-)
Papaya severe leaf curl virus,ssDNA(+/-)
Papaya severe leaf curl virus,ssDNA(+/-)
Cytorhabdovirus alphatrifolii,ssRNA(-)
Cytorhabdovirus betatrifolii,ssRNA(-)
Gemykrogvirus apime1,ssDNA
Gemycircularvirus dichism1,ssDNA
Gemycircularvirus trilo1,ssDNA
Gemykibivirus cynas1,ssDNA
Gemycircularvirus aspar1,ssDNA
Gemykroznavirus poaspe1,ssDNA
Gemycircularvirus lebec1,ssDNA
Gemycircularvirus willde1,ssDNA
Gemyduguivirus merre1,ssDNA
Gemycircularvirus sarpe1,ssDNA
Gemykroznavirus solas1,ssDNA
Gemycircularvirus solas1,ssDNA
Gemykolovirus poaspe1,ssDNA
Gemycircularvirus legle1,ssDNA
Gemykolovirus heris1,ssDNA
Gemyduguivirus macra1,ssDNA
Gemykibivirus planta1,ssDNA
Gemygorvirus poaspe1,ssDNA
Aquaparamyxovirus salmonis,ssRNA(-)
Papaya yellow leaf curl virus,ssDNA(+/-)
Betanucleorhabdovirus mali,ssRNA(-)
Lostrhavirus hyalomma,ssRNA(-)
Sclerotimonavirus botrytidis,ssRNA(-)
Gyrovirus myferr1,ssDNA(-)
Scarabeuvirus lampyris,ssRNA(-)
Tomato leaf curl Bangladesh betasatellite,ssDNA
Ephemerovirus hayes,ssRNA(-)
Ephemerovirus puchong,ssRNA(-)
Porprismacovirus goas1,ssDNA
Porcine associated porprismacovirus,ssDNA
Porcine associated porprismacovirus,ssDNA
Porcine associated porprismacovirus,ssDNA
Porcine associated porprismacovirus,ssDNA
Porcine associated porprismacovirus,ssDNA
Porcine associated porprismacovirus,ssDNA
Porcine associated porprismacovirus,ssDNA
Inpeasmacovirus humas1,ssDNA
Lasius neglectus virus 2,ssRNA(-)
Formivirus angliae,ssRNA(-)
Gemycircularvirus oltre1,ssDNA
Epiphyllum badnavirus 1,dsDNA-RT
Spodoptera exigua multiple nucleopolyhedrovirus,dsDNA
Cyprivirus A,ssRNA(+)
Green Sichuan pepper nucleorhabdovirus,ssRNA(-)
Passiflora mottle virus,ssRNA(+)
Pingu picornavirus,ssRNA(+)
Culicidavirus culicis,ssRNA(-)
Culicidavirus quitotaense,ssRNA(-)
Cytorhabdovirus fragariarugosus,ssRNA(-)
Porcine associated porprismacovirus,ssDNA
Porcine associated porprismacovirus,ssDNA
Porcine associated porprismacovirus,ssDNA
Porprismacovirus humas4,ssDNA
Betatorquevirus homini10,ssDNA(-)
Betatorquevirus homini10,ssDNA(-)
Alphanudivirus quartudromelanogasteris,dsDNA
Aureusvirus sambuci,ssRNA(+)
Jasmine mosaic-associated virus 2,ssRNA(+)
Penicillium magoulivirus,ssRNA(+)
Sigmatorquevirus otari3,ssDNA(-)
Sigmatorquevirus otari2,ssDNA(-)
Cotton leaf curl Bangalore betasatellite,ssDNA
Tomato leaf curl Bangladesh betasatellite,ssDNA
