Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Gammaherpesvirinae,Macavirus,,Macavirus caprinegamma2
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Gammaherpesvirinae,Macavirus,,Macavirus hippotraginegamma1
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Gammaherpesvirinae,Macavirus,,Macavirus ovinegamma2
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Gammaherpesvirinae,Macavirus,,Macavirus suidgamma3
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Gammaherpesvirinae,Macavirus,,Macavirus suidgamma4
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Gammaherpesvirinae,Macavirus,,Macavirus suidgamma5
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Gammaherpesvirinae,Manticavirus,,Manticavirus phascolarctidgamma1
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Gammaherpesvirinae,Manticavirus,,Manticavirus vombatidgamma1
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Gammaherpesvirinae,Patagivirus,,Patagivirus vespertilionidgamma3
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Gammaherpesvirinae,Percavirus,,Percavirus equidgamma2
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Gammaherpesvirinae,Percavirus,,Percavirus equidgamma5
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Gammaherpesvirinae,Percavirus,,Percavirus felidgamma1
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Gammaherpesvirinae,Percavirus,,Percavirus mustelidgamma1
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Gammaherpesvirinae,Percavirus,,Percavirus phocidgamma3
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Gammaherpesvirinae,Percavirus,,Percavirus rhinolophidgamma1
