Species,Family,Genome.composition
Bemisia tabaci arlivirus 2,Lispiviridae,ssRNA(-)
Bemisia tabaci arlivirus 1,Lispiviridae,ssRNA(-)
Magnaporthe oryzae botourmiavirus 2,Botourmiaviridae,ssRNA(+)
Acanthamoeba castellanii medusavirus,,unknown
Pestalotiopsis botourmiavirus 3,Botourmiaviridae,ssRNA(+)
Pestalotiopsis botourmiavirus 2,Botourmiaviridae,ssRNA(+)
Magnaporthe oryzae botourmiavirus 9,Botourmiaviridae,ssRNA(+)
Sodak rhabdovirus 1,Rhabdoviridae,ssRNA(-)
Labrador amdoparvovirus 1,Parvoviridae,ssDNA(+/-)
Bat associated cyclovirus,Circoviridae,ssDNA(+/-)
Bat associated cyclovirus,Circoviridae,ssDNA(+/-)
Sweetbriar rose curly top-associated virus,Secoviridae,ssRNA(+)
Bat associated densovirus,Parvoviridae,ssDNA(+/-)
Bat associated densovirus,Parvoviridae,ssDNA(+/-)
Bat associated densovirus,Parvoviridae,ssDNA(+/-)
Bat associated densovirus,Parvoviridae,ssDNA(+/-)
Bat associated densovirus,Parvoviridae,ssDNA(+/-)
Caesalpinia ferrea associated virus,,DNA
Heliosvirus raunefjordenense,Allomimiviridae,dsDNA
Sonfela circovirus 2,Circoviridae,ssDNA(+/-)
Sonfela circovirus 1,Circoviridae,ssDNA(+/-)
Chaphamaparvovirus strigiform1,Parvoviridae,ssDNA(+/-)
Fusarium oxysporum ourmia-like virus,Botourmiaviridae,ssRNA(+)
Clivia yellow stripe virus,Potyviridae,ssRNA(+)
Clivia carlavirus A,Betaflexiviridae,ssRNA(+)
