Organism_Name,Family,Genome.composition
Pestalotiopsis botourmiavirus 2,Botourmiaviridae,ssRNA(+)
Magnaporthe oryzae botourmiavirus 9,Botourmiaviridae,ssRNA(+)
Sodak rhabdovirus 1,Rhabdoviridae,ssRNA(-)
Labrador amdoparvovirus 1,Parvoviridae,ssDNA(+/-)
Bat associated cyclovirus,Circoviridae,ssDNA(+/-)
Bat associated cyclovirus,Circoviridae,ssDNA(+/-)
Sweetbriar rose curly top-associated virus,Secoviridae,ssRNA(+)
Bat associated densovirus,Parvoviridae,ssDNA(+/-)
Bat associated densovirus,Parvoviridae,ssDNA(+/-)
Bat associated densovirus,Parvoviridae,ssDNA(+/-)
Bat associated densovirus,Parvoviridae,ssDNA(+/-)
Bat associated densovirus,Parvoviridae,ssDNA(+/-)
Caesalpinia ferrea associated virus,,DNA
Pyramimonas orientalis virus,Allomimiviridae,dsDNA
Sonfela circovirus 2,Circoviridae,ssDNA(+/-)
Sonfela circovirus 1,Circoviridae,ssDNA(+/-)
Chaphamaparvovirus gyb-MR2/2015/HUN,Parvoviridae,ssDNA(+/-)
Fusarium oxysporum ourmia-like virus,Botourmiaviridae,ssRNA(+)
Clivia yellow stripe virus,Potyviridae,ssRNA(+)
Clivia carlavirus A,Betaflexiviridae,ssRNA(+)
Agapanthus tungrovirus,Caulimoviridae,dsDNA-RT
Broome densovirus 1,Parvoviridae,ssDNA(+/-)
Rose virus B,Betaflexiviridae,ssRNA(+)
Fadolivirus algeromassiliense,Mimiviridae,dsDNA
Tilapia parvovirus,Parvoviridae,ssDNA(+/-)
Clinch densovirus 1,Parvoviridae,ssDNA(+/-)
Chestnut teal chaphamaparvovirus 3,Parvoviridae,ssDNA(+/-)
Chestnut teal chaphamaparvovirus 2,Parvoviridae,ssDNA(+/-)
Chestnut teal chaphamaparvovirus 1,Parvoviridae,ssDNA(+/-)
Pacific black duck chaphamaparvovirus 1,Parvoviridae,ssDNA(+/-)
